2022-12-24  22:7:26; VRU; 5370-2111; 155147518; %E000%; 301612
2022-12-24  22:7:27; VRU; 5315-1908; 155147246; %E000%; 301611
2022-12-24  22:8:21; VRU; 5418-2124; 155147790; %E000%; 301613
2022-12-26  15:11:42; VRU; 5305-2128; 155169678; %E000%; 301639
2022-12-26  15:11:43; VRU; 5305-1898; 155169374; %E000%; 301638
2022-12-27  9:18:52; VRU; 5333-1925; 155181121; %E000%; 301652
2022-12-27  9:18:54; VRU; 590-1038; 155181355; %E000%; 301653
2022-12-28  15:3:49; VRU; 5337-2096; 155233884; %E000%; 301685
2022-12-29  9:25:0; VRU; 5290-1882; 155250838; %E000%; 301693
2023-1-2  14:36:19; VRU; 5283-1874; 155540776; %E000%; 303210
2023-1-2  14:50:21; VRU; 5372-1993; 155541045; %E000%; 303211
2023-1-9  14:8:24; VRU; 591-1039; 155713443; %E000%; 304025
2023-1-11  18:21:32; VRU; 5319-1912; 155923312; %E000%; 304602
2023-1-11  18:28:29; VRU; 5194-1634; 155924231; %E000%; 304603
2023-1-17  16:51:14; VRU; 5381-2033; 156354554; %E000%; 305982
2023-1-17  18:5:22; VRU; 5327-1919; 156354282; %E000%; 305981
2023-1-20  14:20:46; VRU; 5345-2139; 156596039; %E000%; 306581
2023-1-20  14:20:47; VRU; 5345-1936; 156595767; %E000%; 306580
2023-1-24  9:38:25; VRU; 5440-2148; 156874263; %E000%; 307458
2023-1-24  17:35:51; VRU; 5308-1900; 156914868; %E000%; 307466
2023-1-24  17:35:52; VRU; 5332-1924; 156915168; %E000%; 307467
2023-1-24  17:35:53; VRU; 5332-2140; 156915515; %E000%; 307468
2023-1-26  12:21:9; VRU; 5277-2153; 157108098; %E000%; 307981
2023-1-26  12:36:28; VRU; 5352-1957; 157109660; %E000%; 307982
2023-1-27  18:50:29; VRU; 5313-1906; 157261204; %E000%; 308197
2023-1-31  11:5:37; VRU; 5456-2164; 157533217; %E000%; 309068
2023-1-31  15:35:45; VRU; 5456-2168; 157555934; %E000%; 309076
2023-1-31  16:5:34; VRU; 5458-2167; 157557520; %E000%; 309077
2023-1-31  16:20:33; VRU; 595-1044; 157558604; %E000%; 309078
2023-1-31  18:35:55; VRU; 5439-2147; 157563577; %E000%; 309081
2023-1-31  18:50:57; VRU; 5337-2166; 157565090; %E000%; 309082
2023-2-6  12:20:28; VRU; 5393-2181; 158017024; %E000%; 310497
2023-2-6  12:20:29; VRU; 5393-2046; 158016720; %E000%; 310496
2023-2-6  19:20:59; VRU; 5290-2185; 158061758; %E000%; 310502
2023-2-7  11:35:26; VRU; 5473-2187; 158136705; %E000%; 310782
2023-2-7  11:35:27; VRU; 5473-2186; 158136444; %E000%; 310781
2023-2-8  15:50:26; VRU; 5475-2188; 158270328; %E000%; 311099
2023-2-8  15:50:26; VRU; 5304-1896; 158270056; %E000%; 311098
2023-2-10  11:5:44; VRU; 5481-2196; 158532460; %E000%; 311740
2023-2-10  12:20:55; VRU; 5297-2193; 158548372; %E000%; 311747
2023-2-10  12:20:55; VRU; 5297-1888; 158548100; %E000%; 311746
2023-2-10  13:5:58; VRU; 583-1048; 158556892; %E000%; 311750
2023-2-10  13:6:2; VRU; 583-1030; 158556372; %E000%; 311748
2023-2-10  13:6:3; VRU; 583-1031; 158556632; %E000%; 311749
2023-2-15  6:31:1; VRU; 5388-2040; 158963890; %E000%; 312937
2023-2-15  6:31:3; VRU; 5257-1801; 158963618; %E000%; 312936
2023-2-16  14:35:29; VRU; 5364-2206; 159118545; %E000%; 313251
2023-2-16  14:35:30; VRU; 5291-1883; 159117607; %E000%; 313249
2023-2-16  14:35:31; VRU; 5364-1969; 159118147; %E000%; 313250
2023-2-16  19:20:25; VRU; 5341-1933; 159143325; %E000%; 313255
2023-2-20  11:5:34; VRU; 5359-2217; 159383282; %E000%; 314017
2023-2-20  11:5:34; VRU; 5359-1961; 159382977; %E000%; 314016
2023-2-20  11:36:3; VRU; 596-1045; 159385743; %E000%; 314018
2023-2-20  11:50:18; VRU; 599-1049; 159387047; %E000%; 314021
2023-2-21  20:20:23; VRU; 5379-2029; 159560591; %E000%; 314292
2023-2-27  18:20:21; VRU; 5516-2247; 159895420; %E000%; 315262
2023-3-1  13:35:40; VRU; 5375-1998; 160088918; %E000%; 315740
2023-3-1  13:35:41; VRU; 5375-2250; 160089322; %E000%; 315741
2023-3-1  13:35:42; VRU; 5402-2095; 160089533; %E000%; 315742
2023-3-1  13:35:42; VRU; 5402-2249; 160089793; %E000%; 315743
2023-3-2  12:20:45; VRU; 5335-1928; 160191670; %E000%; 315951
2023-3-2  12:50:48; VRU; 578-1028; 160203365; %E000%; 315953
2023-3-3  16:36:20; VRU; 5314-1907; 160325778; %E000%; 316169
2023-3-3  21:6:5; VRU; 586-1062; 160344098; %E000%; 316172
2023-3-3  21:6:5; VRU; 586-1034; 160343838; %E000%; 316171
2023-3-3  21:36:26; VRU; 5371-1992; 160344186; %E000%; 316173
2023-3-6  18:21:5; VRU; 5383-2035; 160539683; %E000%; 316668
2023-3-9  19:5:29; VRU; 5340-1931; 160792470; %E000%; 317094
2023-3-11  12:21:7; VRU; 5396-2099; 160908629; %E000%; 317418
2023-3-11  12:21:8; VRU; 5396-2049; 160908369; %E000%; 317417
2023-3-11  15:50:28; VRU; 5355-1954; 160909641; %E000%; 317422
2023-3-11  15:50:29; VRU; 5355-1953; 160909369; %E000%; 317421
2023-3-11  15:50:30; VRU; 5389-2042; 160909946; %E000%; 317423
2023-3-12  6:31:9; VRU; 618-1072; 160947669; %E000%; 317576
2023-3-13  20:20:38; VRU; 5340-1932; 161086658; %E000%; 317855
2023-3-15  11:7:10; VRU; 5409-2104; 161258775; %E000%; 318271
2023-3-15  11:21:12; VRU; 5548-2281; 161260076; %E000%; 318272
2023-3-16  6:31:36; VRU; 584-1032; 161329466; %E000%; 318422
2023-3-16  6:31:40; VRU; 5336-1929; 161329194; %E000%; 318421
2023-3-16  16:5:29; VRU; 5516-2288; 161377108; %E000%; 318452
2023-3-17  14:6:16; VRU; 584-1074; 161463340; %E000%; 318635
2023-3-17  20:5:48; VRU; 5461-2171; 161489463; %E000%; 318644
2023-3-18  6:31:22; VRU; 5391-2044; 161520621; %E000%; 318788
2023-3-18  6:31:23; VRU; 5398-2051; 161520933; %E000%; 318789
2023-3-20  15:51:1; VRU; 5373-1996; 161640880; %E000%; 319124
2023-3-20  16:36:16; VRU; 5328-1920; 161646462; %E000%; 319128
2023-3-20  18:21:17; VRU; 5366-1971; 161658805; %E000%; 319132
2023-3-22  13:21:20; VRU; 5250-1755; 161830162; %E000%; 319443
2023-3-22  13:35:21; VRU; 5422-2130; 161831822; %E000%; 319444
2023-3-22  13:35:21; VRU; 5422-2298; 161832142; %E000%; 319445
2023-3-22  14:5:26; VRU; 5349-1941; 161835627; %E000%; 319446
2023-3-22  17:21:5; VRU; 5394-2047; 161857952; %E000%; 319477
2023-3-22  18:36:6; VRU; 594-1078; 161865387; %E000%; 319479
2023-3-22  18:36:6; VRU; 594-1042; 161865124; %E000%; 319478
2023-3-22  21:20:40; VRU; 5435-2309; 161873442; %E000%; 319482
2023-3-22  21:20:41; VRU; 5435-2143; 161873170; %E000%; 319481
2023-3-23  15:5:32; VRU; 5392-2045; 161940832; %E000%; 319688
2023-3-23  15:5:33; VRU; 5385-2037; 161940272; %E000%; 319686
