2024-12-5  10:32:30; FSP; 5658771-353101; 205727061; %E000%; 104
2024-12-5  10:33:30; FSP; 5660661-353219; 205727488; %E000%; 107
2024-12-5  10:33:31; FSP; 5658901-353112; 205727360; %E000%; 106
2024-12-5  10:33:32; FSP; 5660662-353219; 205727578; %E000%; 108
2024-12-5  10:33:32; FSP; 5660663-353219; 205730288; %E000%; 112
2024-12-5  10:33:33; FSP; 5660664-353219; 205728478; %E000%; 109
2024-12-5  10:33:33; FSP; 5663081-353353; 205728728; %E000%; 110
2024-12-5  10:33:34; FSP; 566385-353405; 205728818; %E000%; 111
2024-12-5  17:17:58; FSP; 565829-353060; 205766042; %E000%; 114
2024-12-5  17:17:59; FSP; 565828-353060; 205765940; %E000%; 113
2024-12-5  17:31:33; FSP; 566614-353530; 205767574; %E000%; 115
2024-12-5  18:13:56; FSP; 5660721-353223; 205768623; %E000%; 116
2024-12-5  18:13:57; FSP; 5660722-353223; 205768716; %E000%; 117
2024-12-5  18:13:58; FSP; 5660723-353223; 205768809; %E000%; 118
2024-12-5  18:13:58; FSP; 5660724-353223; 205768902; %E000%; 119
2024-12-6  12:28:11; FSP; 5633161-351604; 205803216; %E000%; 120
2024-12-6  12:29:11; FSP; 5657721-353027; 205803309; %E000%; 121
2024-12-6  12:29:12; FSP; 5658831-353106; 205803719; %E000%; 122
2024-12-6  12:29:13; FSP; 5658832-353106; 205803812; %E000%; 123
2024-12-6  12:29:13; FSP; 5658833-353106; 205803905; %E000%; 124
2024-12-6  12:29:14; FSP; 5658834-353106; 205803998; %E000%; 125
2024-12-6  13:13:35; FSP; 566635-rp3530101; 205807891; %E000%; 126
2024-12-6  16:4:2; FSP; 5660941-353238; 205824504; %E000%; 127
2024-12-6  16:4:3; FSP; 5660944-353238; 205824645; %E000%; 128
2024-12-6  16:52:38; FSP; 566915-353707; 205832007; %E000%; 131
2024-12-6  16:53:38; FSP; 566860-353664; 205831852; %E000%; 130
2024-12-6  16:53:50; FSP; 566859-353664; 205831699; %E000%; 129
2024-12-6  17:3:40; FSP; 5663284-353367; 205833519; %E000%; 135
2024-12-6  17:3:41; FSP; 5663281-353367; 205833222; %E000%; 132
2024-12-6  17:3:42; FSP; 5663282-353367; 205833333; %E000%; 133
2024-12-6  17:3:43; FSP; 5663283-353367; 205833426; %E000%; 134
2024-12-6  17:8:44; FSP; 5662031-353318; 205833858; %E000%; 136
2024-12-6  17:8:45; FSP; 5662034-353318; 205833970; %E000%; 137
