2019-12-14  2:10:53; PPP; 7731-7731; %E000%; 0066628
2019-12-14  2:10:55; PPP; 7706-7706; %E000%; 0066608
2019-12-14  2:10:57; PPP; 7707-7707; %E000%; 0066609
2019-12-14  2:11:0; PPP; 7709-7709; %E000%; 0066610
2019-12-14  2:11:2; PPP; 7711-7711; %E000%; 0066612
2019-12-14  2:11:4; PPP; 7712-7712; %E000%; 0066613
2019-12-14  2:11:6; PPP; 7713-7713; %E000%; 0066614
2019-12-14  2:11:7; PPP; 7714-7714; %E000%; 0066615
2019-12-14  2:11:10; PPP; 7717-7717; %E000%; 0066616
2019-12-14  2:11:12; PPP; 7718-7718; %E000%; 0066617
2019-12-14  2:11:15; PPP; 7720-7720; %E000%; 0066618
2019-12-14  2:11:16; PPP; 7721-7721; %E000%; 0066619
2019-12-14  2:11:18; PPP; 7635-7635; %E000%; 0066561
2019-12-14  2:11:20; PPP; 7725-7725; %E000%; 0066622
2019-12-14  2:11:22; PPP; 7726-7726; %E000%; 0066623
2019-12-14  2:11:24; PPP; 7727-7727; %E000%; 0066624
2019-12-14  2:11:26; PPP; 7728-7728; %E000%; 0066625
2019-12-14  2:11:28; PPP; 7766-7766; %E000%; 0066658
2019-12-14  2:11:31; PPP; 7729-7729; %E000%; 0066626
2019-12-14  2:11:33; PPP; 7732-7732; %E000%; 0066629
2019-12-14  2:11:35; PPP; 7730-7730; %E000%; 0066627
2019-12-14  2:11:37; PPP; 7733-7733; %E000%; 0066630
2019-12-14  2:11:37; PPP; 7745-7745; %E000%; 0066642
2019-12-14  2:11:39; PPP; 7734-7734; %E000%; 0066631
2019-12-14  2:11:41; PPP; 7735-7735; %E000%; 0066632
2019-12-14  2:11:44; PPP; 7736-7736; %E000%; 0066633
2019-12-14  2:11:45; PPP; 7737-7737; %E000%; 0066634
2019-12-14  2:11:48; PPP; 7738-7738; %E000%; 0066635
2019-12-14  2:11:50; PPP; 7739-7739; %E000%; 0066636
2019-12-14  2:11:52; PPP; 7740-7740; %E000%; 0066637
2019-12-14  2:11:54; PPP; 7741-7741; %E000%; 0066638
2019-12-14  2:11:57; PPP; 7742-7742; %E000%; 0066639
2019-12-14  2:11:59; PPP; 7743-7743; %E000%; 0066640
2019-12-14  2:12:1; PPP; 7744-7744; %E000%; 0066641
2019-12-14  2:12:3; PPP; 7746-7746; %E000%; 0066643
2019-12-14  2:12:6; PPP; 7777-7777; %E000%; 0066665
2019-12-14  2:12:7; PPP; 7747-7747; %E000%; 0066644
2019-12-14  2:12:10; PPP; 7748-7748; %E000%; 0066645
2019-12-14  2:12:11; PPP; 7750-7750; %E000%; 0066646
2019-12-14  2:12:13; PPP; 7751-7751; %E000%; 0066647
2019-12-14  2:12:16; PPP; 7784-7784; %E000%; 0066672
2019-12-14  2:12:18; PPP; 7752-7752; %E000%; 0066648
2019-12-14  2:12:20; PPP; 7753-7753; %E000%; 0066649
2019-12-14  2:12:22; PPP; 7754-7754; %E000%; 0066650
2019-12-14  2:12:24; PPP; 7755-7755; %E000%; 0066651
2019-12-14  2:12:26; PPP; 7756-7756; %E000%; 0066652
2019-12-14  2:12:27; PPP; 7757-7757; %E000%; 0066653
2019-12-14  2:12:28; PPP; 7758-7758; %E000%; 0066654
2019-12-14  2:12:31; PPP; 7759-7759; %E000%; 0066655
2019-12-14  2:12:33; PPP; 7762-7762; %E000%; 0066656
2019-12-14  2:12:35; PPP; 7765-7765; %E000%; 0066657
2019-12-14  2:12:36; PPP; 7767-7767; %E000%; 0066659
2019-12-14  2:12:37; PPP; 7768-7768; %E000%; 0066660
2019-12-14  2:12:39; PPP; 7769-7769; %E000%; 0066661
